feature,importance_mean,importance_std
category_main,0.05041603630862329,0.0049023703288390095
log_funding_per_round,0.02798789712556734,0.006082089539402474
age_at_first_funding_days,0.021028744326777603,0.002901181378330585
time_to_first_funding_years,0.021028744326777603,0.002901181378330585
log_funding_total,0.01770045385779122,0.004563095652603836
is_us,0.016641452344931938,0.0019433029619765501
country_code_missing,0.009455370650529493,0.0022943647334497906
state_code,0.0069591527987897025,0.002458105417438999
country_code,0.006278366111951594,0.0020660363515502987
region_missing,0.005597579425113475,0.0017232656202563251
city_missing,0.005597579425113475,0.0017232656202563251
has_multiple_rounds,0.0034795763993948903,0.0017884403052249628
time_between_first_last_days,0.002420574886535576,0.001466771515103291
region,0.0020045385779122625,0.0040736739192926315
high_funding_per_round,0.0008320726172466042,0.0008251673309104252
avg_round_interval_years,0.0005295007564296572,0.0007411466695259312
funding_rounds,0.0004916792738275388,0.0004160363086233021
high_total_funding,0.00045385779122542047,0.0009687026077810759
funding_total_usd,0.0003782148260211837,0.0004784081180285038
funding_total_usd_num,0.0003782148260211837,0.0004784081180285038
state_code_missing,0.0001512859304084735,0.00048435130389053795
city,-0.000302571860816947,0.003071700530143291
funding_per_round,-0.00045385779122542047,0.0007526380008370875
is_uk,-0.0009833585476550777,0.0001852866673814828
company_age_at_last_funding_years,-0.0009833585476550777,0.002653979545060364
is_eu,-0.003971255673222385,0.002093889642309573
