,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier
Baseline (always 0),0.49455337690631807,0.5,0.0,0.0,0.0,0.0,0.5,0.5054466230936819,0.5054466230936819
Baseline (train prevalence prob),0.5054466230936819,0.5,0.5054466230936819,1.0,0.6714905933429812,0.0,0.5,0.5054466230936819,0.353666864885328
Logistic Regression,0.5875090777051561,0.5838839941262849,0.5557491289198606,0.9166666666666666,0.6919739696312365,0.2252675249387956,0.6645230982159434,0.6498002329450498,0.27859411606300405
Random Forest (baseline),0.5613652868554829,0.5575788647526457,0.5393835616438356,0.9051724137931034,0.6759656652360515,0.1604636641119629,0.6514433220247439,0.6332007183907568,0.2994581479111079
Random Forest (tuned),0.6013071895424836,0.6023279659729606,0.6310160427807486,0.5086206896551724,0.5632458233890215,0.20824568099798904,0.6686287913312066,0.6545566175318924,0.23451598011316802
LightGBM,0.5933188090050835,0.5899001215251405,0.5606060606060606,0.9037356321839081,0.6919691969196919,0.23142055540662193,0.6601842709335493,0.6528037428443847,0.2883389372894661
